"","Year","Product","Export_mil","Export_percentage"
"100",2012,"Meat & Animal Products",47808.34,16.8357828892205
"101",2012,"Non-commodity crops",32936.434,11.5986175627336
"102",2012,"Oilseeds",71192.724,25.0706308680912
"103",2012,"Poultry & Eggs",12506.91,4.40432822756492
"104",2012,"Vegetables",12422.488,4.37459888613466
"105",2013,"Cotton",11471.526,3.96560645595327
"106",2013,"Fruits & Nuts",34083.43,11.7823443933293
"107",2013,"Grains & Feed",65486.794,22.6382133524417
"108",2013,"Meat & Animal Products",51784.178,17.9013385484227
"109",2013,"Non-commodity crops",34710.346,11.9990637850598
"110",2013,"Oilseeds",65377.31,22.6003656888245
"111",2013,"Poultry & Eggs",12918.152,4.46569244320116
"112",2013,"Vegetables",13443.716,4.64737533276761
"113",2014,"Cotton",9029.276,3.007324458055
"114",2014,"Fruits & Nuts",34698.03,11.5566557346709
"115",2014,"Grains & Feed",69955.74,23.2997205848328
"116",2014,"Meat & Animal Products",54964.172,18.306572838436
"117",2014,"Non-commodity crops",35045.632,11.6724293577464
"118",2014,"Oilseeds",69599.996,23.1812351567645
"119",2014,"Poultry & Eggs",12916.808,4.302120415679
"120",2014,"Vegetables",14033.174,4.67394145381551
"121",2015,"Cotton",7989.708,3.02010063448926
"122",2015,"Fruits & Nuts",34837.608,13.1685766269416
"123",2015,"Grains & Feed",60371.306,22.8202857420503
"124",2015,"Meat & Animal Products",45493.236,17.1963920219074
"125",2015,"Non-commodity crops",34623.632,13.0876939396937
"126",2015,"Oilseeds",57416.06,21.7032060791049
"127",2015,"Poultry & Eggs",9829.914,3.71569643200663
"128",2015,"Vegetables",13989.588,5.28804852380629
"129",2016,"Cotton",8061.16799999999,3.01292834400306
"130",2016,"Fruits & Nuts",33443.13,12.4996469852978
"131",2016,"Grains & Feed",58835.112,21.9901106846297
"132",2016,"Meat & Animal Products",44043.554,16.461643302463
"133",2016,"Non-commodity crops",35601.414,13.3063235162929
"134",2016,"Oilseeds",63844.728,23.8624961800034
"135",2016,"Poultry & Eggs",9307.754,3.47885019213194
"136",2016,"Vegetables",14415.736,5.38800079517823
"137",2017,"Cotton",11804.298,4.30552324650667
"138",2017,"Fruits & Nuts",34624.38,12.6289655671079
"139",2017,"Grains & Feed",57523.244,20.9811429918556
"140",2017,"Meat & Animal Products",49311.784,17.9860786586984
"141",2017,"Non-commodity crops",35255.082,12.8590090752113
"142",2017,"Oilseeds",60851.74,22.1951852757682
